Drug,Primary indication,Virus,Group,Cell cultures/co-cultures,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Phase IV,Approved,Potential target,Reference,Reference2,Virus Family,Virus Name,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,Mode_of_action,InChI_Key
Obatoclax,Investigational anticancer,HMPV,(-)ssRNA,*,,,,,,,,Human MCL1,doi: 10.20944/preprints201909.0128.v1,,Pneumoviridae,Human metapneumovirus,Lower respiratory infection in young children,24,DB12191,16681698,Bcl-2 family inhibitor,RFTSSZJZXOSICM-GRSHGNNSSA-N
Oritavancin,Approved antibacterial,HMPV,(-)ssRNA,*,,,,,,,,Human CTSL,doi: 10.3389/fimmu.2019.02186,,Pneumoviridae,Human metapneumovirus,Lower respiratory infection in young children,24,DB04911,16136912,Transglycosylation; transpeptidation and cell membrane interaction/disruption inhibitor,VHFGEBVPHAGQPI-LXKZPTCJSA-N
Remdesivir,Investigational antiviral,HMPV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:28262699,,Pneumoviridae,Human metapneumovirus,Lower respiratory infection in young children,24,DB14761,121304016,Viral RNA polymerase inhibitor,RWWYLEGWBNMMLJ-YSOARWBDSA-N
Lovastatin,Approved lipid-lowering,HPIV-1,(-)ssRNA,*,,,,,,,,Human HMGCR,PMID:27915128,,Paramyxoviridae,Human parainfluenza virus 1,Upper respiratory tract infections,4,DB00227,53232,HMG-CoA reductase inhibitor,PCZOHLXUXFIOCF-BXMDZJJMSA-N
Glycyrrhizin,Approved anti-inflammatory,HPIV-2,(-)ssRNA,*,,,,,,,,Human TNF,PMID:29070744,,Paramyxoviridae,Human parainfluenza virus 2,Upper respiratory tract infections,4,DB13751,14982,,LPLVUJXQOOQHMX-QWBHMCJMSA-N
Artesunate,Approved antimalarial,HPV,dsDNA,,,,*,*,,,,Unknown,NCT03100045; NCT04098744,,Papillomaviridae,Human papillomavirus,Genital warts and laryngeal papillomatosis,37,DB09274,6917864,Unclear,FIHJKUPKCHIPAT-AHIGJZGOSA-N
Berberine,Investigational anticancer,HPV,dsDNA,*,,,,,,,,Unknown,PMID:21496227,,Papillomaviridae,Human papillomavirus,Genital warts and laryngeal papillomatosis,37,DB04115,2353,AMP-activated protein kinase (AMPK) activator,YBHILYKTIRIUTE-UHFFFAOYSA-N
Cidofovir,Approved antiviral,HPV,dsDNA,,,,,*,,,,Viral DNA pol,NCT00550589,,Papillomaviridae,Human papillomavirus,Genital warts and laryngeal papillomatosis,37,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Azithromycin,Approved antibacterial,HRV-A,(+)ssRNA,*,,*,,,,,,Unknown,PMID:28415826,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,DB00207,447043,,MQTOSJVFKKJCRP-BICOPXKESA-N
EIPA (amiloride),Approved anti-arrhythmic,HRV-A,(+)ssRNA,*,,,,,,,,Human SLC9A1,PMID:23913188,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,DB00594,16231,Epithelial sodium channel inhibitor,XSDQTOBWRPYKKA-UHFFFAOYSA-N
Gemcitabine,Approved anticancer,HRV-A,(+)ssRNA,*,,,,,,,,Human RRM1,PMID:28705625,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,DB00441,60750,Antimetabolite; Nucleoside analog,SDUQYLNIPVEERB-QPPQHZFASA-N
Itraconazole,Approved antifungal,HRV-A,(+)ssRNA,*,,*,,,,,,Multiple,PMID:26976677,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,DB01167,55283,antifungal; hedgehog signaling inhibitor,VHVPQPYKVGDNFY-ZPGVKDDISA-N
Nitazoxanide,Approved antiprotozoal,HRV-A,(+)ssRNA,,,,,,*,,,Multiple,NCT03605862,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Pleconaril,Approved antiviral,HRV-A,(+)ssRNA,,,,,*,,*,,Viral VP1,DB05105,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,DB05105,1684,,KQOXLKOJHVFTRN-UHFFFAOYSA-N
Silvestrol,Investigational anticancer,HRV-A,(+)ssRNA,*,,,,,,,,Human EIF4A,PMID:29258862,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,,11787114,Inhibitor of translation initiation by targeting the RNA helicase,GVKXFVCXBFGBCD-QKDMMWSPSA-N
Verapamil,Approved antiarrhythmic,HRV-A,(+)ssRNA,*,,,,,,,,Human CACNA1C,PMID:16054245,,Picornaviridae,Human rhinovirus A,Bronchial asthma and chronic obstructive pulmonary disease,86,DB00661,2520,Voltage-dependent calcium channels inhibitor,SGTNSNPWRIOYBX-UHFFFAOYSA-N
EIPA (amiloride),Approved anti-arrhythmic,HRV-B,(+)ssRNA,*,,,,,,,,Human SLC9A1,PMID:16054245,PMID: 21090258,Picornaviridae,Human rhinovirus B,Bronchial asthma and chronic obstructive pulmonary disease,86,DB00594,16231,Epithelial sodium channel inhibitor,XSDQTOBWRPYKKA-UHFFFAOYSA-N
Itraconazole,Approved antifungal,HRV-B,(+)ssRNA,*,,,,,,,,Multiple,PMID:25640182,,Picornaviridae,Human rhinovirus B,Bronchial asthma and chronic obstructive pulmonary disease,86,DB01167,55283,antifungal; hedgehog signaling inhibitor,VHVPQPYKVGDNFY-ZPGVKDDISA-N
Pleconaril,Approved antiviral,HRV-B,(+)ssRNA,,,,,,,*,,Viral VP1,DB05105,,Picornaviridae,Human rhinovirus B,Bronchial asthma and chronic obstructive pulmonary disease,86,DB05105,1684,,KQOXLKOJHVFTRN-UHFFFAOYSA-N
ABT-263,Investigational anticancer,HSV-1,dsDNA,*,,,,,,,,Human BCL2,PMID:23887633,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB12340,24978538,Bcl-2/Bcl-xL inhibitor,JLYAXFNOILIKPP-KXQOOQHDSA-N
Acetylsalicylic acid,Approved anti-inflammatory,HSV-1,dsDNA,*,,*,*,,,,,Human PTGS1,PMID:24768597; NCT00587496,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00945,2244,Cyclooxygenase inhibitor,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
Aciclovir,Approved antiviral,HSV-1,dsDNA,,,,,*,,*,*,Viral DNA pol,CID: 23709358; NCT01026454; DB00787 ,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00787,2022,Viral DNA polymerase inhibitor,MKUXAQIIEYXACX-UHFFFAOYSA-N
Amiodarone,Approved antiarrhythmic,HSV-1,dsDNA,*,,,,,,,,Human CYPs,PMID:21502533,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB01118,2157,Non-competitive ß-adrenergic inhibitor,Approved
Amodiaquine,Approved antimalarial,HSV-1,dsDNA,*,,,,,,,,Unknown,PMID:30791609,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00613,2165,Methyltransferase inhibitor,OVCDSSHSILBFBN-UHFFFAOYSA-N
Arbidol (Umifenovir),Approved antiviral,HSV-1,dsDNA,*,,,,,,,,Multiple,PMID:28890393,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB13609,131411,,KCFYEAOKVJSACF-UHFFFAOYSA-N
Berberine,Investigational anticancer,HSV-1,dsDNA,*,,,,,,,,Unknown,PMID:24913175,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB04115,2353,AMP-activated protein kinase (AMPK) activator,YBHILYKTIRIUTE-UHFFFAOYSA-N
Brincidofovir,Investigational antiviral,HSV-1,dsDNA,*,,,*,*,*,,,Viral DNA pol,PMID:30120866; NCT01610765; NCT01143181,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB12151,483477,Viral DNA polymerase inhibitor,CRDDLOITBKEPRN-UQIIZPHYSA-M
Caffeine,Approved anti-bronchopulmonary dysplasia,HSV-1,dsDNA,*,,,,,,,,Viral DNA pol,PMID:21725588,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00201,2519,Adenosine-receptor antagonist,RYYVLZVUVIJVGH-UHFFFAOYSA-N
Camptothecin,Investigational anticancer,HSV-1,dsDNA,*,,,,,,,,Human TOP1,PMID:20397103,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB04690,24360,Topoisomerase I inhibitor,VSJKWCGYPAHWDS-FQEVSTJZSA-N
Cepharanthine,Approved anti-inflammatory and cancer (Japan),HSV-1,dsDNA,*,,,,,,,,NPC1,PMID: 22454997,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,,10206,,YVPXVXANRNDGTA-WDYNHAJCSA-N
Cidofovir,Approved antiviral,HSV-1,dsDNA,,,,*,*,,,,Viral DNA pol,NCT00002116;  NCT01610765,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Eflornithine,Approved antiprotozoal; withdrawn,HSV-1,dsDNA,*,,,,,,,,Human ODC1,PMID:12569563,PMID: 25993608,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB06243,3009,Enzyme-activated; irreversible inhibitor of ornithine decarboxylase,VLCYCQAOQCDTCN-UHFFFAOYSA-N
EIPA (amiloride),Approved anti-arrhythmic,HSV-1,dsDNA,*,,,,,,,,Human SLC9A1,PMID:25210183,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00594,16231,Epithelial sodium channel inhibitor,XSDQTOBWRPYKKA-UHFFFAOYSA-N
Emodin,Investigational anticancer,HSV-1,dsDNA,*,,,,,,,,Multiple,PMID:18552872,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB07715,3220,,RHMXXJGYXNZAPX-UHFFFAOYSA-N
Flavopiridol,Approved anticancer,HSV-1,dsDNA,*,,,,,,,,Human CDKs,PMID:24205359,PMID: 29298032,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB03496,5287969,CDK inhibitor,BIIVYFLTOXDAOV-YVEFUNNKSA-N
Foscarnet,Approved antiviral,HSV-1,dsDNA,,,,,*,,,*,Viral DNA pol,CID:3415; DB00529; NCT03073967,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00529,3415,Pyrophosphate analog DNA polymerase inhibitor,ZJAOAACCNHFJAH-UHFFFAOYSA-N
Ganciclovir,Approved antiviral,HSV-1,dsDNA,*,,,,,,,,Viral DNA pol,PMID:30287226,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB01004,3454,Viral RNA polymerase inhibitor,IRSCQMHQWWYFCW-UHFFFAOYSA-N
Gemcitabine,Approved anticancer,HSV-1,dsDNA,*,,,,,,,,Human RRM1,PMID:22910914,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00441,60750,Antimetabolite; Nucleoside analog,SDUQYLNIPVEERB-QPPQHZFASA-N
Genistin, Investigational antidepressant,HSV-1,dsDNA,*,,,,,,,,Multiple,PMID8397505,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,,5281377,,ZCOLJUOHXJRHDI-CMWLGVBASA-N
Glycyrrhizin,Approved anti-inflammatory,HSV-1,dsDNA,*,,,,,,,,Human TNF,PMID:24173639,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB13751,14982,,LPLVUJXQOOQHMX-QWBHMCJMSA-N
Homoharringtonine,Approved anticancer,HSV-1,dsDNA,*,,,,,,,,Human ribosome,PMID:30388805,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB04865,285033,Protein translation inhibitor,HYFHYPWGAURHIV-JFIAXGOJSA-N
Indomethacin,Approved anti-inflammatory,HSV-1,dsDNA,*,,,,,,,,Human PTGS1,PMID:1964373,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00328,3715,Cyclo-oxygenase (COX) enzyme or prostaglandin G/H synthase inhibitor,CGIGDMFJXJATDK-UHFFFAOYSA-N
Labyrinthopeptin A1,Research compound,HSV-1,dsDNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,,,Viral membrane perforation,
Labyrinthopeptin A2,Research compound,HSV-1,dsDNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,,,Viral membrane perforation,
Leflunomide,Approved immunosuppressant,HSV-1,dsDNA,*,,,,,,,,Human DHODH,PMID:11211189,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB01097,3899,Pyrimidine synthesis inhibitor,VHOGYURTWQBHIL-UHFFFAOYSA-N
Letermovir,Approved antiviral,HSV-1,dsDNA,*,,,,,,,,Viral terminase,PMID:30677427,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB12070,45138674,Inhibitor  the DNA terminase complex of cytomegalovirus activity,FWYSMLBETOMXAG-QHCPKHFHSA-N
Lobucavir,Investigational antiviral,HSV-1,dsDNA,*,,,,,,,,Viral DNA pol,PMID:1656194,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB12531,60786,,GWFOVSGRNGAGDL-FSDSQADBSA-N
Mitoxantrone,Approved anticancer,HSV-1,dsDNA,*,,,,,,,,Human TOP2,PMID:30791609,PMID: 21010114,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB01204,4212,Topoisomerase II inhibitor,KKZJGLLVHKMTCM-UHFFFAOYSA-N
Monensin,Approved antibacterial,HSV-1,dsDNA,*,,,,,,,,Unknown,PMID: 20097166,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB11430,441145,,GAOZTHIDHYLHMS-KEOBGNEYSA-N
Nelfinavir,Approved antiviral,HSV-1,dsDNA,*,,,,,,,,Viral protease,PMID:24574416,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00220,64143,HIV protease inhibitor,QAGYKUNXZHXKMR-HKWSIXNMSA-N
Niclosamide,Approved antihelmintic,HSV-1,dsDNA,*,,,,,,,,Multiple,PMID:30791609,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB06803,4477,,
N-MCT,Investigational antiviral,HSV-1,dsDNA,*,,,,,,,,Viral DNA pol,PMID:30287226,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,,445212,,NOWRLNPOENZFHP-ARHDFHRDSA-N
Novobiocin,Approved antibacterial,HSV-1,dsDNA,*,,*,,,,,,Multiple,PMID:3041048,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB01051,54675769,Bacterial DNA gyrase inhibitor (targeting GyrB),YJQPYGGHQPGBLI-KGSXXDOSSA-N
Quinine,Approved antimalarial,HSV-1,dsDNA,*,,,,,,,,Unknown,PMID:17600687,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00468,3034034,,LOUPRKONTZGTKE-WZBLMQSHSA-N
Raloxifene,Approved antiosteoporosis,HSV-1,dsDNA,*,,,,,,,,Human ER,PMID:30791609,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00481,5035,Selective estrogen receptor modulator,GZUITABIAKMVPG-UHFFFAOYSA-N
Regorafenib,Approved anticancer,HSV-1,dsDNA,*,,,,,,,,Human RTKs,PMID:30883607,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB08896,11167602,B-Raf; c-Kit; VEGFR2 inhibitor,FNHKPVJBJVTLMP-UHFFFAOYSA-N
Roscovitine (Seliciclib),Investigational anti-Cushing disease,HSV-1,dsDNA,*,,,,,,,,Human CDKs,PMID:11773384,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB06195,160355,Cyclin-dependent kinase (CDK) inhibitor,BTIHMVBBUGXLCJ-OAHLLOKOSA-N
Sorafenib,Approved anticancer,HSV-1,dsDNA,*,,,,,,,,Human RTKs,PMID:30883607,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00398,216239,B-Raf; FGFR-1; VEGFR-2 & -3; PDGFR-beta; KIT; and FLT3 inhibitor,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Tamoxifen,Approved anticancer,HSV-1,dsDNA,*,,,,,,,,Human ER,PMID:24657267; NCT00749138,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00675,2733526,Estrogen receptor antagonist,NKANXQFJJICGDU-QPLCGJKRSA-N
Tilorone (Amixin),Approved antiviral (Russia and Ukraine),HSV-1,dsDNA,,,,,,,,*,Unknown,https://www.rlsnet.ru/tn_index_id_1526.htm,,Herpesviridae,Herpes simplex virus 1,Cold sores,12,,5475,Interferon inducer,MPMFCABZENCRHV-UHFFFAOYSA-N
Valacyclovir,Approved antiviral,HSV-1,dsDNA,,,,,,,,*,Viral DNA pol,CID:135398741; DB00577,PMID: 22716645,Herpesviridae,Herpes simplex virus 1,Cold sores,12,DB00577,60773, Nucleoside analog DNA polymerase enzyme inhibitor; L-valine ester of aciclovir.,HDOVUKNUBWVHOX-QMMMGPOBSA-N
ABT-263,Investigational anticancer,HSV-2,dsDNA,*,,,,,,,,Human BCL2,PMID:23887633,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB12340,24978538,Bcl-2/Bcl-xL inhibitor,JLYAXFNOILIKPP-KXQOOQHDSA-N
Aciclovir,Approved antiviral,HSV-2,dsDNA,,,,,*,*,,*,Viral DNA pol,CID: 23709358; NCT00723229; DB00787 ,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB00787,2022,Viral DNA polymerase inhibitor,MKUXAQIIEYXACX-UHFFFAOYSA-N
Arbidol (Umifenovir),Approved antiviral,HSV-2,dsDNA,*,,*,,,,,,Multiple,PMID:30612085,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB13609,131411,,KCFYEAOKVJSACF-UHFFFAOYSA-N
Cidofovir,Approved antiviral,HSV-2,dsDNA,,,,*,*,,,,Viral DNA pol,NCT00002116;  NCT01610765,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Emetine,Approved antiprotozoal,HSV-2,dsDNA,*,,,,,,,,Human ribosome,doi: 10.20944/preprints201909.0128.v1,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB13393,10219,,AUVVAXYIELKVAI-CKBKHPSWSA-N
Foscarnet,Approved antiviral,HSV-2,dsDNA,,,,,,,,*,Viral DNA pol,CID:3415; DB00529 ,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB00529,3415,Pyrophosphate analog DNA polymerase inhibitor,ZJAOAACCNHFJAH-UHFFFAOYSA-N
Ganciclovir,Approved antiviral,HSV-2,dsDNA,*,,,,,,,,Viral DNA pol,PMID:30287226,PMID: 29487357,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB01004,3454,Viral RNA polymerase inhibitor,IRSCQMHQWWYFCW-UHFFFAOYSA-N
Kasugamycin,Approved antibacterial,HSV-2,dsDNA,*,,*,,,,,,Unknown,PMID:29632368,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,,65174,,PVTHJAPFENJVNC-UQTMRZPGSA-N
Labyrinthopeptin A2,Research compound,HSV-2,dsDNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,,,Viral membrane perforation,
Labyrinthopeptin A2,Research compound,HSV-2,dsDNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,,,Viral membrane perforation,
Letermovir,Approved antiviral,HSV-2,dsDNA,*,,,,,,,,Viral terminase,PMID:30677427,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB12070,45138674,Inhibitor  the DNA terminase complex of cytomegalovirus activity,FWYSMLBETOMXAG-QHCPKHFHSA-N
Niclosamide,Approved antihelmintic,HSV-2,dsDNA,*,,,,,,,,Multiple,doi: 10.20944/preprints201909.0128.v1,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB06803,4477,,
N-MCT,Investigational antiviral,HSV-2,dsDNA,,,,*,,,,,Viral DNA pol,NCT02778386,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,,445212,,NOWRLNPOENZFHP-ARHDFHRDSA-N
Obatoclax,Investigational anticancer,HSV-2,dsDNA,*,,,,,,,,Human MCL1,doi: 10.20944/preprints201909.0128.v1,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB12191,16681698,Bcl-2 family inhibitor,RFTSSZJZXOSICM-GRSHGNNSSA-N
Tenofovir,Approved antiviral,HSV-2,dsDNA,,,,,,*,,,Viral DNA pol,NCT01386294,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB14126,464205,Nucleotide analog reverse transcriptase inhibitor,SGOIRFVFHAKUTI-ZCFIWIBFSA-N
Tilorone (Amixin),Approved antiviral (Russia and Ukraine),HSV-2,dsDNA,*,,,,,,,,Unknown,https://www.rlsnet.ru/tn_index_id_1526.htm,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,,5475,Interferon inducer,MPMFCABZENCRHV-UHFFFAOYSA-N
Valacyclovir,Approved antiviral,HSV-2,dsDNA,,,,,,,,*,Viral DNA pol,CID:135398741; DB00577,,Herpesviridae,Herpes simplex virus 2,Genital herpes,12,DB00577,60773, Nucleoside analog DNA polymerase enzyme inhibitor; L-valine ester of aciclovir.,HDOVUKNUBWVHOX-QMMMGPOBSA-N
Regorafenib,Approved anticancer,HTV,(-)ssRNA,*,,,,,,,,Human RTKs,PMID:30883607,,Hantaviridae,Hantavirus,Hantavirus cardiopulmonary syndrome ,21,DB08896,11167602,B-Raf; c-Kit; VEGFR2 inhibitor,FNHKPVJBJVTLMP-UHFFFAOYSA-N
Sorafenib,Approved anticancer,HTV,(-)ssRNA,*,,,,,,,,Human RTKs,PMID:30883607,,Hantaviridae,Hantavirus,Hantavirus cardiopulmonary syndrome ,21,DB00398,216239,B-Raf; FGFR-1; VEGFR-2 & -3; PDGFR-beta; KIT; and FLT3 inhibitor,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Artesunate,Approved antimalarial,JCV,dsDNA,*,,,,,,,,Unknown,PMID:30677427,,Polyomaviridae,John Cunningham virus,Progressive multifocal leukoencephalopathy,-1,DB09274,6917864,Unclear,FIHJKUPKCHIPAT-AHIGJZGOSA-N
Brincidofovir,Investigational antiviral,JCV,dsDNA,*,,,,,,,,Viral DNA pol,PMID:30677427,,Polyomaviridae,John Cunningham virus,Progressive multifocal leukoencephalopathy,-1,DB12151,483477,Viral DNA polymerase inhibitor,CRDDLOITBKEPRN-UQIIZPHYSA-M
Cidofovir,Approved antiviral,JCV,dsDNA,*,,,,,,,,Viral DNA pol,PMID:30287227,,Polyomaviridae,John Cunningham virus,Progressive multifocal leukoencephalopathy,-1,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Mefloquine,Approved antimalarial,JCV,dsDNA,*,,,,,,,,"HBA1, ADORA2A",PMID: 19258267,,Polyomaviridae,John Cunningham virus,Progressive multifocal leukoencephalopathy,-1,DB00358,40692,,XEEQGYMUWCZPDN-UHFFFAOYSA-N
Roscovitine (Seliciclib),Investigational anti-Cushing disease,JCV,dsDNA,*,,,,,,,,Human CDKs,PMID:17919676,PMID: 29298032,Polyomaviridae,John Cunningham virus,Progressive multifocal leukoencephalopathy,-1,DB06195,160355,Cyclin-dependent kinase (CDK) inhibitor,BTIHMVBBUGXLCJ-OAHLLOKOSA-N
Topotecan,Approved anticancer,JCV,dsDNA,*,,,,,,,,Human TOP1,PMID:26935240,,Polyomaviridae,John Cunningham virus,Progressive multifocal leukoencephalopathy,-1,DB01030,60700,Topoisomerase I inhibitor. Camptothecin analog,UCFGDBYHRUNTLO-QHCPKHFHSA-N
Anisomycin,Investigational,JEV,(+)ssRNA,*,,,,,,,,Bacterial protein and DNA synthesis,PMID: 16099910,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,DB07374,253602,Bacterial protein and DNA synthesis inhibitor,YKJYKKNCCRKFSL-RDBSUJKOSA-N
Apoptozole,Research compound,JEV,(+)ssRNA,*,,,,,,,,HSP70,PMID:31967789,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,,24894064,Post-entry,ZIMMTPFXOMAJTQ-UHFFFAOYSA-N
BCX4430 (Galidesivir),Approved antiviral,JEV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:28473729,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,DB11676,10445549,RNA-dependent RNA polymerase (RdRp) inhibitor,AMFDITJFBUXZQN-KUBHLMPHSA-N
Eflornithine,Approved antiprotozoal; withdrawn,JEV,(+)ssRNA,*,,,,,,,,Human ODC3,PMID:27535049,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,DB06243,3009,Enzyme-activated; irreversible inhibitor of ornithine decarboxylase,VLCYCQAOQCDTCN-UHFFFAOYSA-N
Luteolin,Approved anticancer,JEV,(+)ssRNA,*,,,,,,,,Unknown,PMID:27126774,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,,5280445,,IQPNAANSBPBGFQ-UHFFFAOYSA-N
Manidipine,Approved antihypertensive,JEV,(+)ssRNA,*,,*,,,,,,Multiple,PMID:28814523,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,DB09238,4008,Calcium channel blocker,ANEBWFXPVPTEET-UHFFFAOYSA-N
Niclosamide,Approved antihelmintic,JEV,(+)ssRNA,*,,,,,,,,Multiple,PMID:24348901,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,DB06803,4477,,
Nitazoxanide,Approved antiprotozoal,JEV,(+)ssRNA,*,,*,,,,,,Multiple,PMID:24456815,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Novobiocin,Approved antibacterial,JEV,(+)ssRNA,*,,,,,,,,Multiple,PMID:2846831,,Flaviviridae,Japanese encephalitis virus,Japanese encephalitis,2,DB01051,54675769,Bacterial DNA gyrase inhibitor (targeting GyrB),YJQPYGGHQPGBLI-KGSXXDOSSA-N
Brequinar,Investigational anticancer,JUNV,(-)ssRNA,*,,,,,,,,Human DHODH,PMID:31302150,,Arenaviridae,Junin virus,Argentine hemorrhagic fever,0,DB03523,57030,Dihydroorotate dehydrogenase (DHODH) inhibitor,PZOHOALJQOFNTB-UHFFFAOYSA-M
Caffeine,Approved anti-bronchopulmonary dysplasia,JUNV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:10509392,,Arenaviridae,Junin virus,Argentine hemorrhagic fever,0,DB00201,2519,Adenosine-receptor antagonist,RYYVLZVUVIJVGH-UHFFFAOYSA-N
EIPA (amiloride),Approved anti-arrhythmic,JUNV,(-)ssRNA,*,,,,,,,,Human SLC9A1,PMID:24173224,,Arenaviridae,Junin virus,Argentine hemorrhagic fever,0,DB00594,16231,Epithelial sodium channel inhibitor,XSDQTOBWRPYKKA-UHFFFAOYSA-N
Leflunomide,Approved immunosuppressant,JUNV,(-)ssRNA,*,,,,,,,,Human DHODH,PMID:29315647,,Arenaviridae,Junin virus,Argentine hemorrhagic fever,0,DB01097,3899,Pyrimidine synthesis inhibitor,VHOGYURTWQBHIL-UHFFFAOYSA-N
Mycophenolic acid,Approved immunosuppressant,JUNV,(-)ssRNA,*,,,,,,,,Human IMPDH,PMID:31302150,,Arenaviridae,Junin virus,Argentine hemorrhagic fever,0,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
